"MainID","d","m","tw","NPE","kap.prop","NPEclass","KDEclass"
1,1,4,4,0.691031215561433,0.0833333333333333,"deterministic","stochastic"
56,2,3,7,0.115532088896872,0.0916666666666667,"stochastic","stochastic"
57,2,2,8,NA,0.383333333333333,NA,"deterministic"
58,3,2,10,NA,0.35,NA,"deterministic"
59,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA
61,2,3,4,0.381575488427094,0.408333333333333,"stochastic","deterministic"
64,4,3,5,NA,0.0583333333333333,NA,"stochastic"
65,NA,NA,NA,NA,0.616666666666667,NA,"deterministic"
1150,2,4,2,-0.354141240760885,0,"stochastic","stochastic"
1153,3,2,23,0.19328075439031,NA,"stochastic",NA
1154,2,6,3,-0.9824252086278,0.183333333333333,"stochastic","stochastic"
1155,NA,NA,NA,NA,0,NA,"stochastic"
1157,1,4,2,0.567365984792974,0.0416666666666667,"stochastic","stochastic"
1158,5,3,5,NA,0.141666666666667,NA,"stochastic"
1159,3,3,1,-0.873743311773742,0,"stochastic","stochastic"
1161,2,2,10,NA,0.025,NA,"stochastic"
1162,2,3,6,0.0936017364966505,0,"stochastic","stochastic"
1163,2,3,4,0.22494919901303,0.0833333333333333,"stochastic","stochastic"
1166,1,4,3,0.27900344802327,0.333333333333333,"stochastic","deterministic"
1169,1,4,2,0.511685135814086,0.2,"stochastic","stochastic"
1170,1,2,3,NA,0.175,NA,"stochastic"
1173,1,3,4,0.199523570069779,0.416666666666667,"stochastic","deterministic"
1176,4,3,6,-0.285859989069303,0.183333333333333,"stochastic","stochastic"
1178,4,6,5,-0.392661218993558,0,"stochastic","stochastic"
1179,1,3,9,0.799232261016009,0.141666666666667,"deterministic","stochastic"
1180,3,3,5,-0.0325507904489792,0.1,"stochastic","stochastic"
1181,1,6,1,NA,0.416666666666667,NA,"deterministic"
1182,3,3,3,-0.846819451445351,0.666666666666667,"stochastic","deterministic"
1183,1,4,2,0.740697367146237,0,"deterministic","stochastic"
1184,2,4,1,-0.304861443015327,0,"stochastic","stochastic"
1187,3,4,3,-0.258973005050393,0.466666666666667,"stochastic","deterministic"
1188,1,5,4,0.547459368805602,0.125,"stochastic","stochastic"
1189,1,3,2,0.783391163300136,0,"deterministic","stochastic"
1211,2,4,1,-0.801095180017888,0,"stochastic","stochastic"
1213,2,5,1,-1.58788545911074,0.6,"stochastic","deterministic"
1347,NA,NA,NA,NA,NA,NA,NA
1869,1,3,1,0.19478744927012,0.958333333333333,"stochastic","deterministic"
2721,3,2,5,0.556246504081945,0.266666666666667,"stochastic","stochastic"
2722,3,3,5,0.680145646100897,0.716666666666667,"deterministic","deterministic"
2726,4,3,4,-0.23411120502738,0.175,"stochastic","stochastic"
2759,3,3,2,-0.682803234524111,0.05,"stochastic","stochastic"
2770,2,3,3,-0.239561293435292,0.258333333333333,"stochastic","stochastic"
2771,2,2,2,-0.795910853471093,NA,"stochastic",NA
2772,2,2,10,NA,0.00833333333333333,NA,"stochastic"
5019,1,2,16,0.948561462596783,0.0583333333333333,"deterministic","stochastic"
5020,1,2,7,NA,0,NA,"stochastic"
5021,2,4,1,-2.32403888815411,0,"stochastic","stochastic"
5037,1,5,1,0.798317116271168,0.0166666666666667,"deterministic","stochastic"
5039,1,4,3,0.275618478265663,NA,"stochastic",NA
5040,1,6,1,0.12040861670162,0.991666666666667,"stochastic","deterministic"
5043,NA,NA,NA,NA,0.891666666666667,NA,"deterministic"
5044,5,2,6,NA,0.991666666666667,NA,"deterministic"
6104,3,6,3,-0.191525529398392,1,"stochastic","deterministic"
6105,2,6,3,-2.83883866882906,1,"stochastic","deterministic"
6106,2,6,3,-0.0681965862839622,0.966666666666667,"stochastic","deterministic"
6107,2,6,3,-0.360514361225113,1,"stochastic","deterministic"
6109,2,6,6,0.0144677917326282,1,"stochastic","deterministic"
6110,2,6,3,-0.00539747803751944,1,"stochastic","deterministic"
6111,2,6,9,-0.068148856859634,1,"stochastic","deterministic"
6112,1,6,3,NA,1,NA,"deterministic"
6114,3,6,5,0.247375414344984,0.783333333333333,"stochastic","deterministic"
6115,2,6,5,0.197370988605652,0.75,"stochastic","deterministic"
6116,5,6,4,0.330069578948143,1,"stochastic","deterministic"
6117,3,6,4,0.172345296374314,1,"stochastic","deterministic"
6118,3,6,3,0.0486802613455893,0.75,"stochastic","deterministic"
6119,3,6,6,0.088230162126222,1,"stochastic","deterministic"
6120,3,6,6,0.00521614010535321,1,"stochastic","deterministic"
6121,2,6,6,-0.326404840900354,0.966666666666667,"stochastic","deterministic"
6122,2,6,3,-2.18193197533475,1,"stochastic","deterministic"
6125,7,6,6,0.239406395760961,1,"stochastic","deterministic"
6126,1,6,5,0.78976964722456,1,"deterministic","deterministic"
6127,2,6,2,-0.826857823076647,1,"stochastic","deterministic"
6128,6,6,6,0.0106550823960017,0.983333333333333,"stochastic","deterministic"
6129,3,6,4,-0.0226503409563141,0.691666666666667,"stochastic","deterministic"
6130,3,6,4,-0.475321737629853,1,"stochastic","deterministic"
6131,4,6,6,0.0721220874787624,1,"stochastic","deterministic"
6132,3,4,6,0.137493958169708,1,"stochastic","deterministic"
6133,3,5,6,0.597613728123064,0.858333333333333,"stochastic","deterministic"
6134,4,5,6,0.283503292005942,0.975,"stochastic","deterministic"
6135,4,5,6,0.34272318425398,1,"stochastic","deterministic"
6136,3,6,6,0.316034309139515,0.8,"stochastic","deterministic"
6138,2,6,3,-0.160042754434603,0.991666666666667,"stochastic","deterministic"
6139,4,6,4,0.0724300681014856,0.991666666666667,"stochastic","deterministic"
6140,3,5,3,-0.0967338511613112,0.991666666666667,"stochastic","deterministic"
6141,4,6,3,-0.0778566664489968,0.958333333333333,"stochastic","deterministic"
6524,3,5,3,0.058580550921424,0.991666666666667,"stochastic","deterministic"
6525,5,4,4,0.104664157089473,1,"stochastic","deterministic"
6528,3,2,6,-0.428847695206776,0.941666666666667,"stochastic","deterministic"
6529,NA,NA,NA,NA,NA,NA,NA
6530,1,3,5,0.59299546319701,0.558333333333333,"stochastic","deterministic"
6633,2,2,15,0.470548995817359,NA,"stochastic",NA
6635,4,4,4,0.0270572904528766,0.658333333333333,"stochastic","deterministic"
6768,3,4,6,NA,1,NA,"deterministic"
6789,2,6,2,NA,NA,NA,NA
6791,6,6,2,NA,NA,NA,NA
6798,3,6,3,NA,NA,NA,NA
6801,2,6,4,NA,NA,NA,NA
6807,4,6,4,0.011784132986804,NA,"stochastic",NA
6820,4,6,4,-0.170261943487427,NA,"stochastic",NA
6821,6,6,6,NA,NA,NA,NA
6822,10,6,3,NA,NA,NA,NA
6825,5,5,6,0.129323691356729,NA,"stochastic",NA
6832,6,6,6,0.09080114663093,NA,"stochastic",NA
6837,4,6,4,0.0471635090187139,NA,"stochastic",NA
6848,3,6,6,0.0877006359368911,NA,"stochastic",NA
6851,5,6,3,0.220109325913255,NA,"stochastic",NA
6859,7,6,2,0.153139896773372,NA,"stochastic",NA
6860,6,6,4,-0.360895754123798,NA,"stochastic",NA
7065,7,6,4,0.273202718356559,1,"stochastic","deterministic"
9191,1,3,3,0.550819612112863,0.658333333333333,"stochastic","deterministic"
9192,3,2,3,0.0880782172935569,0.475,"stochastic","deterministic"
9194,1,2,4,0.906902580070848,0,"deterministic","stochastic"
9200,1,3,3,0.612026501738106,0.133333333333333,"stochastic","stochastic"
9232,2,3,3,-0.296732730526337,0.416666666666667,"stochastic","deterministic"
9338,1,3,1,0.873360193224628,0,"deterministic","stochastic"
9381,2,4,3,0.0489869425710484,0.966666666666667,"stochastic","deterministic"
9382,4,3,2,-4.36771562644004,0.275,"stochastic","stochastic"
9391,4,2,16,NA,0.0333333333333333,NA,"stochastic"
9393,2,2,20,NA,0.508333333333333,NA,"deterministic"
9404,1,3,11,NA,0.0333333333333333,NA,"stochastic"
9469,4,2,9,0.394704760330511,0.325,"stochastic","deterministic"
9470,3,2,5,-1.0088674937417,0.8,"stochastic","deterministic"
9488,3,2,1,-0.43246386153251,0.175,"stochastic","stochastic"
9489,4,3,4,-0.230675386453715,0.0166666666666667,"stochastic","stochastic"
9490,1,3,4,0.765059327407714,0.433333333333333,"deterministic","deterministic"
9491,4,3,4,-0.116717307329822,0.7,"stochastic","deterministic"
9492,NA,NA,NA,NA,0.4,NA,"deterministic"
9493,4,3,5,0.102392337823504,0.483333333333333,"stochastic","deterministic"
9494,3,3,5,0.350445750534999,0.075,"stochastic","stochastic"
9495,4,3,5,0.170870023809275,0.175,"stochastic","stochastic"
9496,1,3,5,0.914063410405304,0,"deterministic","stochastic"
9497,5,2,6,0.479390757686467,0,"stochastic","stochastic"
9498,1,2,10,0.873849961329136,0.125,"deterministic","stochastic"
9499,5,2,5,0.301936428618095,0,"stochastic","stochastic"
9500,4,2,5,0.175372396656572,0.141666666666667,"stochastic","stochastic"
9501,1,4,4,0.896943876051813,0.9,"deterministic","deterministic"
9502,2,3,5,0.600343668996805,0.1,"stochastic","stochastic"
9503,1,3,5,0.82123770518602,0.833333333333333,"deterministic","deterministic"
9517,1,3,2,0.795995123791163,0.766666666666667,"deterministic","deterministic"
9518,4,3,6,-0.0833338559885273,0.0416666666666667,"stochastic","stochastic"
9519,4,3,13,-0.257341752363464,0.508333333333333,"stochastic","deterministic"
9586,5,6,5,-0.769267420045144,1,"stochastic","deterministic"
9598,5,3,4,-1.17096751562286,0.791666666666667,"stochastic","deterministic"
9612,6,4,4,0.217926550318781,1,"stochastic","deterministic"
9643,4,2,3,0.0630049210755046,0.0833333333333333,"stochastic","stochastic"
9646,2,5,2,-7.61301069551449,0.975,"stochastic","deterministic"
9688,4,5,6,0.177683424434712,1,"stochastic","deterministic"
9689,5,3,4,-1.03470095852161,NA,"stochastic",NA
9690,5,6,4,-0.585002319325785,1,"stochastic","deterministic"
9691,3,6,4,0.238797992884176,1,"stochastic","deterministic"
9791,1,3,1,0.75064941730387,0.0166666666666667,"deterministic","stochastic"
9792,3,2,2,-0.524731561754703,0.0916666666666667,"stochastic","stochastic"
9793,3,4,3,0.181594740474844,0.941666666666667,"stochastic","deterministic"
9794,2,2,2,0.182146376801361,0,"stochastic","stochastic"
9795,1,3,2,0.614949866169588,0,"stochastic","stochastic"
9796,2,2,2,-0.48073411769624,0.0166666666666667,"stochastic","stochastic"
9797,3,2,2,-0.613190728418014,0,"stochastic","stochastic"
9833,8,2,44,0.6336514659192,NA,"stochastic",NA
9834,3,3,18,0.828980184761729,0.333333333333333,"deterministic","deterministic"
9893,2,4,2,-0.123355081413669,0.116666666666667,"stochastic","stochastic"
9894,3,2,2,-0.230500257868327,0.108333333333333,"stochastic","stochastic"
9917,1,6,5,-0.100858186466774,0.85,"stochastic","deterministic"
9918,1,6,1,NA,0.975,NA,"deterministic"
9919,1,6,7,0.00218820701111511,0.658333333333333,"stochastic","deterministic"
9920,1,6,1,-0.0500000883778577,0.825,"stochastic","deterministic"
9921,1,6,1,0.0422479500511747,0.308333333333333,"stochastic","deterministic"
9923,2,2,2,0.156922660846703,0.966666666666667,"stochastic","deterministic"
9949,4,4,3,-0.0175699449680182,0.966666666666667,"stochastic","deterministic"
9950,NA,NA,NA,NA,1,NA,"deterministic"
9953,5,4,5,0.110105366082219,0.833333333333333,"stochastic","deterministic"
9955,4,2,9,0.41115334528265,0.216666666666667,"stochastic","stochastic"
